X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"18283",2019/02/26 00:00:00,2019/02/27 00:00:00+00,"23",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Étienne-de-Baïgorry,modis/sentinel,49.9999999997727,0,0,0,49.9999999997727,0,0,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"18292",2019/03/27 00:00:00,2019/03/27 00:00:00+00,"51",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aldudes,modis/sentinel,23.0769230768787,0,0,0,76.923076922929,0,0,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"18305",2019/02/19 00:00:00,2019/02/19 00:00:00+00,"62",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Larcat,modis/sentinel,21.3114754098011,0,0,0,78.6885245900349,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18311",2019/02/26 00:00:00,2019/02/27 00:00:00+00,"283",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Étienne-de-Baïgorry,modis/sentinel,18.8811188811123,0,0,0,81.1188811188528,0,0,0,0,1.52366970966956,"0",2022/03/02 11:51:40.501,EU,EU
,,"18315",2019/01/03 00:00:00,2019/01/06 00:00:00+00,"450",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aste-Béon,modis/sentinel,13.1111111111082,0,15.1111111111078,0,71.7777777777618,0,0,0,0,0.974472917705586,"0",2022/03/02 11:51:40.501,EU,EU
,,"18319",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"29",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aussurucq,modis/sentinel,6.89655172411415,0,0,0,93.103448275541,0,0,0,0,0.081233802590607,"0",2022/03/02 11:51:40.501,EU,EU
,,"18330",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"72",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Lées-Athas,modis/sentinel,2.81690140844674,0,0,0,97.1830985914124,0,0,0,0,12.6331998234754,"0",2022/03/02 11:51:40.501,EU,EU
,,"18356",2019/02/21 00:00:00,2019/02/21 00:00:00+00,"35",FR,FRA,France,Auvergne-Rhône-Alpes,Auvergne,Cantal,Chaudes-Aigues,modis/sentinel,52.7777777776312,0,0,0,44.444444444321,0,2.77777777777006,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18360",2019/03/21 00:00:00,2019/03/21 00:00:00+00,"64",FR,FRA,France,Occitanie,Languedoc-Roussillon,Lozère,Pont de Montvert - Sud Mont Lozère,modis/sentinel,3.17460317459814,0,3.17460317459814,0,93.650793650645,0,0,0,0,10.2608245755368,"0",2022/03/02 11:51:40.501,EU,EU
,,"18366",2019/02/15 00:00:00,2019/02/15 00:00:00+00,"183",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Uhart-Cize,modis/sentinel,34.574468085088,0,0,0,65.4255319148588,0,0,0,0,11.2094636628284,"0",2022/03/02 11:51:40.501,EU,EU
,,"18371",2019/02/20 00:00:00,2019/02/20 00:00:00+00,"89",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Saint-Étienne-de-Baïgorry,modis/sentinel,13.6363636363481,0,0,0,86.3636363635382,0,0,0,0,0.465379642040938,"0",2022/03/02 11:51:40.501,EU,EU
,,"18374",2019/02/27 00:00:00,2019/02/27 00:00:00+00,"22",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Bedous,modis/sentinel,43.4782608693762,0,0,0,56.521739130189,0,0,0,0,99.9999999999999,"0",2022/03/02 11:51:40.501,EU,EU
,,"18403",2019/02/20 00:00:00,2019/02/20 00:00:00+00,"88",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Jaxu,modis/sentinel,0,0,51.6853932583689,0,34.8314606741182,0,13.4831460674006,0,0,17.1502315567438,"0",2022/03/02 11:51:40.501,EU,EU
